id|name|gene_id
354|ALD|174
355|ALDP|174
356|adrenoleukodystrophy|174
357|PUMB1|175
358|ALDH1|175
359|RALDH1|175
360|ALDH3|177
361|ALDH5|178
362|ALDHX|178
363|ALDH6|179
364|RALDH3|179
365|ALDH7|180
366|ALDH8|181
367|ALDH4|182
368|ALDH9|182
369|SLS|183
370|ALDH10|183
371|FALDH|183
372|ALDL1|184
373|ALDR|184
374|ALDR1|189
375|ALDRP|190
376|CD246|191
377|ALK1|191
378|12S-LOX|192
379|5-LOX|193
380|FLAP|194
381|12R-LOX|195
382|ALOX12P|196
383|15-LOX-1|198
384|15-LOX-2|199
385|HOPS|201
386|TNSALP|201
387|TNALP|201
388|TNAP|201
389|PALP|202
390|ALPPL2|203
391|FND|204
392|ITI|206
393|ITIL|206
394|UTI|206
395|HCP|206
396|EDC1|206
397|HI30|206
398|IATIL|206
399|ITILC|206
400|SAMDC|207
401|AMD2|208
402|AMD|208
403|AMDP1|208
404|AMDPX|208
405|AMDPY|208
406|AMG|209
407|AIH1|209
408|AMGL|210
409|RNF45|211
410|gp78|211
411|MIS|212
412|MISR2|213
413|MISRII|213
414|MADA|214
415|SPG63|215
416|AMPHL|218
417|SH3P9|218
418|AMPH2|218
419|GCST|219
420|NKH|219
421|AMY1|220
422|AMY2|223
423|AMY2P|225
424|RNASE5|227
425|RAA1|227
426|KIAA0003|228
427|Ang1|228
428|AGPT-1|228
429|Ang2|229
430|ANK|230
431|SPH1|230
432|LQT4|231
433|FAP87|231
434|CFAP87|231
435|CD13|233
436|PEPN|233
437|gp150|233
438|AP-N|233
439|hAPN|233
440|PEO3|234
441|PEO2|234
442|ANT1|234
443|ANT2|235
444|T2|235
445|T3|235
446|ANT3|236
447|ANT3Y|236
448|MGC17525|236
449|ANX1|237
450|LPC1|237
451|ANX2|238
452|ANX2L4|238
453|CAL1H|238
454|LPC2D|238
455|LIP2|238
456|LPC2A|239
457|ANX2P1|239
458|ANX2L1|239
459|ANX2P2|240
460|ANX2L2|240
461|LPC2B|240
462|ANX2P3|241
463|ANX2L3|241
464|LPC2C|241
465|ANX3|242
466|ANX4|243
467|ENX2|244
468|ANX5|244
469|CPB-I|244
470|PAP-I|244
471|VAC-alph|244
472|RPRGL3|244
473|ANX6|245
474|ANX7|246
475|ANX11|247
476|ANX13|248
477|RAO|250
478|DAO2|250
479|AO|251
480|AOH1|251
481|CED4|252
482|APAF-1|252
483|APAH1|253
484|MINT1|255
485|D9S411E|255
486|X11|255
487|X11L|256
488|MINT2|256
489|D15S1518E|256
490|LIN-10|256
491|MGC:14091|256
492|HsT16821|256
493|RIR|257
494|Fe65|257
495|FE65L|258
496|FE65L1|258
497|MGC35575|258
498|DP2.5|259
499|PPP1R46|259
500|PTX2|260
501|MGC88159|260
502|APECED|261
503|PGA1|261
504|APS1|261
505|D3S48E|262
506|APEX|263
507|APX|263
508|APEN|263
509|REF-1|263
510|APE-1|263
511|API1|264
512|cIAP1|264
513|hiap-2|264
514|MIHB|264
515|RNF48|264
516|c-IAP1|264
517|API2|265
518|cIAP2|265
519|hiap-1|265
520|MIHC|265
521|RNF49|265
522|MALT2|265
523|c-IAP2|265
524|API3|266
525|BIRC4|266
526|hILP|266
527|ILP-1|266
528|API4|267
529|survivin|267
530|APLP|268
531|APPH|269
532|BEDP|274
533|CDAR1|274
534|APOBEC-1|274
535|HEPR|274
536|lincRNA-APOC1P1-3|276
537|Apo-CIII|279
538|ApoC-III|279
539|APOCIII|279
540|Apo-C3|279
541|ApoC-3|279
542|Apo-D|281
543|AD2|282
544|B2G1|283
545|BG|283
546|AD1|284
547|alpha-sAPP|284
548|APS|286
549|FAS1|287
550|APT1|287
551|TNFRSF6|287
552|CD95|287
553|APO-1|287
554|APT1LG1|288
555|TNFSF6|288
556|FasL|288
557|CD178|288
558|APXL|289
559|CO|290
560|CHIP28|290
561|GIL|292
562|MIWC|293
563|AQP-4|293
564|hAQP4|293
565|AQP2L|295
566|AQP7L|296
567|AQPap|296
568|SSC1|297
569|HsT17287|297
570|DHTR|298
571|SBMA|298
572|AIS|298
573|NR3C4|298
574|SMAX1|298
575|HUMARA|298
576|ARA|299
577|PXE|299
578|MRP6|299
579|EST349056|299
580|MLP1|299
581|URG7|299
582|ARAF1|300
583|COPD|301
584|ARFD1|302
585|RNF46|302
586|SDGF|303
587|AREGB|303
588|ARF2|306
589|ARF4L|307
590|ARF4P|308
591|ARH12|313
592|ARHA|313
593|Rho12|313
594|RHOH12|313
595|ARH6|314
596|ARHB|314
597|RHOH6|314
598|MST081|314
599|ARH9|315
600|ARHC|315
601|ARHE|316
602|RhoE|316
603|Rho8|316
604|ARHG|317
605|MGC125835|317
606|MGC125836|317
607|RhoGAP|318
608|p50rhoGAP|318
609|CDC42GAP|318
610|Cdc42GAP|318
611|KIAA0131|319
612|C1|319
613|p115|319
614|RhoGAP4|319
615|SrGAP4|319
616|GFI2|320
617|RhoGAP5|320
618|p190-B|320
619|p190BRhoGAP|320
620|rhoGAPX-1|321
621|GDIA1|322
622|RHOGDI|322
623|RAP1GN1|323
624|GDIA2|323
625|GDID4|323
626|Ly-GDI|323
627|RhoGDI2|323
628|RHOGDI-3|324
629|ARHH|325
630|TTF|325
631|ARFL1|326
632|ARIX|327
633|FEOM2|327
634|PMX2A|327
635|CFEOM2|327
636|ARFL2|328
637|ARFL3|329
638|HIF-1beta|330
639|bHLHe2|330
640|ARNTL|331
641|MOP3|331
642|JAP3|331
643|PASD3|331
644|bHLHe5|331
645|ARNTL1|331
646|ARRX|332
647|ARR1|333
648|ARR2|334
649|BARR2|334
650|DKFZp686L0365|334
651|ASA|335
652|ARSC1|337
653|ARSC|338
654|ASD|339
655|CDPX|340
656|CDPX1|340
657|ARSE|340
658|ASF|341
659|ART2|342
660|CD296|342
661|ARTC1|342
662|RT6|343
663|ART1P|343
664|ARTC2AP|343
665|ARTC3|344
666|DO|345
667|CD297|345
668|ARTC4|345
669|ASAH|347
670|AC|347
671|PHP32|347
672|FLJ21558|347
673|ACDase|347
674|HASH1|348
675|bHLHa46|348
676|ASH2|349
677|HASH2|349
678|bHLHa45|349
679|CLEC4H1|350
680|CLEC4H2|351
681|AGTIL|352
682|ASP|352
683|ASAL|353
684|ASLL|354
685|HIOMT|355
686|ASMTY|355
687|HIOMTY|355
688|ASNA1|356
689|ARSA-I|356
690|TRC40|356
691|ASNSL2|358
692|ACY2|359
693|CASQ2BP1|360
694|BAH|360
695|JCTN|360
696|HAAH|360
697|ASS|361
698|CTLN1|361
699|ASSP2|362
700|ASSP4|363
701|ASSP5|364
702|ASSP6|365
703|ASSP8|366
704|ASSP9|367
705|ASSP10|368
706|ASSP14|369
707|ASTN|370
708|AT3|371
709|ATIII|371
710|MGC22579|371
711|ATBF1|372
712|C16orf47|372
713|ZNF927|372
714|FLJ26184|372
715|TREB36|373
716|TXREB|375
717|TAXREB67|375
718|CREB-2|375
719|TXREBP|376
720|ATF4P|376
721|TAXREB67P|376
722|PURH|377
723|AICARFT|377
724|IMPCHASE|377
725|ATA|378
726|ATDC|378
727|ATC|378
728|ATD|378
729|TEL1|378
730|TELO1|378
731|ATN1L|379
732|KIAA0458|379
733|ARG|379
734|DNB1|379
735|ATN2|379
736|HATH1|380
737|MATH-1|380
738|Math1|380
739|bHLHa14|380
740|HAH1|381
741|MHP2|383
742|FHM2|383
743|DYT12|384
744|ATP1AL1|385
745|H-K-ATPase|385
746|ATP1AL2|386
747|ATP1B|387
748|AMOG|388
749|FLJ29027|389
750|CD298|389
751|ATP1BL1|391
752|ATP1G1|392
753|HOMG2|392
754|MGC12372|392
755|ATP2A|393
756|SERCA1|393
757|ATP2B|394
758|DAR|394
759|SERCA2|394
760|SERCA3|395
761|PMCA1|396
762|PMCA2|397
763|SCAX1|398
764|CLA2|398
765|PMCA3|398
766|CFAP39|398
767|MXRA1|399
768|PMCA4|399
769|ATP6A|400
770|ATP6B|401
771|ATP5AL2|402
772|ATP5A1|402
773|hATP1|402
774|OMR|402
775|ORM|402
776|ATQ1|403
777|EPD|403
778|PDE|403
779|ATP5AP2|404
780|ATP5A1P2|404
781|ATPSB|405
782|ATP5B|405
783|ATPSBL1|406
784|ATP5BL1|406
785|ATP5BP1|406
786|ATPMBL1|406
787|ATP5CL1|407
788|ATP5C|407
789|ATP5C1|407
790|ATP5D|408
791|ATP5E|409
792|ATP5F1|410
793|ATP5G|411
794|ATP5G1|411
795|ATP5G2|412
796|ATP5G3|413
797|ATP5GP1|414
798|ATP5G2P1|414
799|ATP5I|415
800|ATP5A|416
801|ATP5|416
802|ATPM|416
803|ATP5J|416
804|CF6|416
805|VPP2|417
806|ATP6A1|417
807|ATP6V1A1|417
808|Vma1|417
809|VA68|417
810|VPP3|418
811|ATP6B1|418
812|VATB|418
813|RTA1B|418
814|Vma2|418
815|ATP6B2|419
816|HO57|419
817|ATPL|420
818|ATP6C|420
819|ATP6L|420
820|VATL|420
821|Vma3|420
822|VATC|421
823|Vma5|421
824|ATP6E|422
825|ATP6V1E|422
826|P31|422
827|Vma4|422
828|ATP6E2|422
829|ATP6F|423
830|VMA16|423
831|HATPL|423
832|ATP6G|424
833|ATP6G2|424
834|NG38|424
835|Em:AC004181.3|424
836|VPP1|425
837|ATP6N1|425
838|ATP6N1A|425
839|a1|425
840|ATP6S1|426
841|ATP6IP1|426
842|ORF|426
843|XAP-3|426
844|VATPS1|426
845|16A|426
846|Ac45|426
847|XAP3|426
848|CF2|426
849|MNK|427
850|ATP5O|428
851|OSCP|428
852|ATPO|428
853|WND|429
854|ATQL1|430
855|ATQL2|431
856|ATQL3|432
857|ATQL4|433
858|FRP1|434
859|SCKL|434
860|SCKL1|434
861|MEC1|434
862|RAD54|435
863|JMS|435
864|MRX52|435
865|XH2|435
866|XNP|435
867|ATSV|436
868|C2orf20|436
869|SPG30|436
870|UNC104|436
871|ARVP|439
872|ADH|439
873|AVPR1|440
874|AVPR3|441
875|V1bR|441
876|VPR3|441
877|DIR3|442
878|DIR|442
879|V2R|442
880|UFO|443
881|JTK11|443
882|Tyro7|443
883|ZA2G|444
884|ZAG|444
885|AZU|445
886|CAP37|445
887|AZAMP|445
888|NAZC|445
889|HUMAZUR|445
890|BAT|448
891|BACH-1|449
892|BTBD24|449
893|BCL2L8|450
894|BBC2|450
895|CT2.1|452
896|BAGE1|452
897|BAI1|453
898|BAI2|454
899|BAI3|455
900|KIAA0550|455
901|CDN1|456
902|BCL2L7|456
903|BAK|456
904|BAPX1|457
905|NKX3B|457
906|NKX3.2|457
907|BCL2L4|459
908|FLJ23590|460
909|BBS|461
910|BCT1|463
911|BCATc|463
912|BCT2|464
913|BCATm|464
914|CHE1|465
915|CHE2|465
916|E1|465
917|OVD1A|466
918|MSU|466
919|BCL1|468
920|D11S287E|468
921|PRAD1|468
922|U21B31|468
923|Bcl-2|469
924|PPP1R50|469
925|HBPA1|470
926|GRS|470
927|BFL1|470
928|BCL2L5|470
929|ACC-1|470
930|ACC-2|470
931|ACC2|470
932|BCLX|471
933|BCL2L|471
934|Bcl-X|471
935|bcl-xL|471
936|bcl-xS|471
937|PPP1R52|471
938|KIAA0271|472
939|BCL-W|472
940|PPP1R51|472
941|BCL2L7P1|473
942|BAK2|473
943|BCL2L7P2|474
944|BAK3|474
945|BAK3P|474
946|D19S37|475
947|BCL4|475
948|ZNF51|476
949|ZBTB27|476
950|LAZ3|476
951|BCL5|476
952|BCL6A|476
953|BCL7|477
954|SMARCJ1|477
955|BCL8|478
956|BCL8A|478
957|BCMA|480
958|BCM|480
959|CD269|480
960|TNFRSF13A|480
961|BCNG2|481
962|BCNG-2|481
963|HAC-1|481
964|BCP|482
965|CBT|482
966|D22S11|483
967|BCR1|483
968|D22S662|483
969|CML|483
970|PHL|483
971|ALL|483
972|BCR4|484
973|BCRL4|484
974|BCR-4|484
975|Hs.6719|485
976|BCS|485
977|h-BCS|485
978|BJS|485
979|BC200|486
980|BC200a|486
981|NCRNA00004|486
982|LINC00004|486
983|BC200b|487
984|BC200g|488
985|BDH|489
986|SDR9C1|489
987|BKR1|490
988|B1BKR|490
989|bradyb1|490
990|BK-2|491
991|BFD|493
992|BF|493
993|H2-Bf|493
994|CP94|494
995|CP115|494
996|LIFL-H|494
997|filensin|494
998|OCN|495
999|DSPG1|496
1000|SLRR1A|496
1001|BGP|497
1002|BGP1|497
1003|CD66a|497
1004|BHMT1|498
1005|NBK|501
1006|BLIMP1|502
1007|PRDI-BF1|502
1008|MGC10442|503
1009|BS|504
1010|RECQL3|504
1011|RECQ2|504
1012|BH|505
1013|BLR1|506
1014|MDR15|506
1015|CD185|506
1016|BLVR|507
1017|FLR|508
1018|SDR43U1|508
1019|BNC|509
1020|HsT19447|509
1021|PCGF4|510
1022|RNF51|510
1023|PCOLC|511
1024|BMP-1|511
1025|BMP2A|512
1026|BMP2B|514
1027|VGR|516
1028|VGR1|516
1029|OP-1|517
1030|BMP8|518
1031|OP-2|518
1032|ACVRLK3|519
1033|ALK3|519
1034|CD292|519
1035|ALK6|520
1036|CDw293|520
1037|PPH1|521
1038|BRK-3|521
1039|T-ALK|521
1040|BMPR3|521
1041|BMPR-II|521
1042|PSCTK3|522
1043|BN51T|523
1044|TSBN51|523
1045|RPC4|523
1046|C53|523
1047|Nip1|524
1048|SEC20|524
1049|Nip2|525
1050|BNIP-2|525
1051|Nip3|526
1052|HABON|526
1053|Nix|527
1054|BNIP3a|527
1055|BCL2L9|528
1056|BOKL|528
1057|MGC4631|528
1058|BPAG1|529
1059|BP240|529
1060|KIAA0728|529
1061|FLJ21489|529
1062|FLJ13425|529
1063|FLJ32235|529
1064|FLJ30627|529
1065|CATX-15|529
1066|BPA|529
1067|MACF2|529
1068|BPES|530
1069|BPES1|530
1070|MCNAA|532
1071|Bph-rp|532
1072|VACVase|532
1073|BPIFD1|533
1074|RNF53|534
1075|PPP1R53|534
1076|FANCS|534
1077|BRAF1|535
1078|BRAF-1|535
1079|FANCD1|536
1080|FAD1|536
1081|XRCC11|536
1082|BRD6|537
1083|CT9|537
1084|BRDt|537
1085|RNF162B|538
1086|Berg36|538
1087|TIS11B|538
1088|cMG1|538
1089|ERF2|539
1090|RNF162C|539
1091|TIS11D|539
1092|BB3|540
1093|BB3R|540
1094|BBR3|540
1095|OK|541
1096|EMMPRIN|541
1097|CD147|541
1098|EMPRIN|541
1099|CD157|542
1100|BST-1|542
1101|cADPR2|542
1102|CD317|543
1103|tetherin|543
1104|BST-2|543
1105|HM1.24|543
1106|BTEB1|546
1107|BTEB2|547
1108|IKLF|547
1109|NACB|548
1110|BTF3a|548
1111|BTF3b|548
1112|BTF3L1|549
1113|HUMBTFB|549
1114|OCIF|549
1115|HUMBTFA|550
1116|APRO2|551
1117|AGMX1|552
1118|IMD1|552
1119|ATK|552
1120|XLA|552
1121|PSCTK1|552
1122|BTN|553
1123|BT|553
1124|BTN1|553
1125|BUB1L|554
1126|hBUB1|554
1127|BUB1A|554
1128|BUBR1|556
1129|MAD3L|556
1130|Bub1A|556
1131|SSK1|556
1132|Enp1|557
1133|BZRP|558
1134|PBR|558
1135|MBR|558
1136|PKBS|558
1137|mDRC|558
1138|pk18|558
1139|TSPO1|558
1140|HABP1|559
1141|gC1Q-R|559
1142|gC1qR|559
1143|SF2p32|559
1144|C1NH|560
1145|C1IN|560
1146|C1-INH|560
1147|HAE1|560
1148|HAE2|560
1149|C1INH|560
1150|C1orf1|561
1151|C3orf51|561
1152|Po42|561
1153|C1QG|564
1154|CPAMD1|568
1155|ARMD9|568
1156|C3a|568
1157|C3b|568
1158|C3AR|569
1159|AZ3B|569
1160|CPAMD2|570
1161|C4S|570
1162|CO4|570
1163|C4|570
1164|C4A3|570
1165|C4A2|570
1166|C4A4|570
1167|C4A6|570
1168|RG|570
1169|CPAMD3|571
1170|C4F|571
1171|C4B1|571
1172|C4B3|571
1173|CH|571
1174|C4BPAL2|573
1175|C4BP|574
1176|VRNI|575
1177|nCL-3|575
1178|ADNIV|575
1179|CPAMD4|576
1180|C5a|576
1181|C5b|576
1182|C5R1|577
1183|C5A|577
1184|C5AR|577
1185|CD88|577
1186|C8orf1|583
1187|hT41|583
1188|C11orf3|585
1189|C11orf2|585
1190|ANG2|585
1191|ANG3|585
1192|FFR|585
1193|C11orf4|586
1194|NOF|586
1195|NOF1|586
1196|L49mt|586
1197|C11orf5|587
1198|FON|587
1199|C11orf8|588
1200|239FB|588
1201|D11S302E|588
1202|Hs.46638|588
1203|FAM1B|588
1204|dJ873F21.1|588
1205|dJ1024C24.1|588
1206|C11orf9|589
1207|Ndt80|589
1208|pqn-47|589
1209|MRF|589
1210|C11orf10|590
1211|Kuduk|590
1212|Kud|590
1213|C11orf11|591
1214|KIAA0659|591
1215|NSDDR|591
1216|DAGLALPHA|591
1217|C16orf3|592
1218|C17orf1B|593
1219|FMNL|593
1220|C18orf1|594
1221|C21orf3|595
1222|C21orf1|595
1223|PBF|595
1224|PTTG1IP1|595
1225|C21orf2|596
1226|YF5|596
1227|A2|596
1228|LRRC76|596
1229|C21orf4|597
1230|C22orf1|598
1231|239AB|598
1232|FAM1A|598
1233|Car1|599
1234|Car2|600
1235|CA-II|600
1236|CAII|600
1237|Car3|601
1238|CAIII|601
1239|RP17|602
1240|CAIV|602
1241|Car4|602
1242|CA5|603
1243|CAVA|603
1244|CA5P|604
1245|CALS|607
1246|CARP|607
1247|MN|608
1248|CAIX|608
1249|CARP2|609
1250|CARPX1|609
1251|HsT18816|610
1252|CACNL1A4|611
1253|SCA6|611
1254|MHP1|611
1255|MHP|611
1256|Cav2.1|611
1257|EA2|611
1258|APCA|611
1259|FHM|611
1260|CACNL1A5|612
1261|Cav2.2|612
1262|CACNN|612
1263|CCHL1A1|613
1264|CACNL1A1|613
1265|CACNA1C-IT2|613
1266|Cav1.2|613
1267|CACH2|613
1268|CACN2|613
1269|LQT8|613
1270|CCHL1A2|614
1271|CACNL1A2|614
1272|Cav1.3|614
1273|CACH3|614
1274|CACN4|614
1275|CACNL1A6|615
1276|Cav2.3|615
1277|BII|615
1278|CACH6|615
1279|CSNB2|616
1280|AIED|616
1281|Cav1.4|616
1282|JM8|616
1283|JMC8|616
1284|CSNBX2|616
1285|CORDX3|616
1286|CSNB2A|616
1287|OA2|616
1288|HOKPP|617
1289|MHS5|617
1290|CACNL1A3|617
1291|Cav1.1|617
1292|hypoPP|617
1293|NTRK4|618
1294|PTK3A|618
1295|NEP|618
1296|CAK|618
1297|EDDR1|618
1298|RTK6|618
1299|CD167|618
1300|CACNL2A|619
1301|CACNA2|619
1302|MHS3|619
1303|LINC01112|619
1304|lncRNA-N3|619
1305|alpha2delta-1|619
1306|CACNLB1|620
1307|MYSB|621
1308|CACNLB2|621
1309|CACNLB3|622
1310|EJM4|623
1311|CACNLG|624
1312|CACT|625
1313|CAC|625
1314|CACTP|626
1315|SLC25A20P|626
1316|GATD4|627
1317|CALB|628
1318|CAL2|629
1319|CALB3|630
1320|CABP9K|630
1321|CALC1|631
1322|CGRP|631
1323|CGRP-alpha|631
1324|CALC2|632
1325|FLJ30166|632
1326|CGRP-II|632
1327|CALC3|633
1328|CTR|634
1329|CT-R|634
1330|CDM|635
1331|H-CAD|635
1332|L-CAD|635
1333|h-CD|635
1334|CALML2|636
1335|CAMI|636
1336|DD132|636
1337|PHKD1|636
1338|CALML1|637
1339|TCAG_1643085|638
1340|PHKD2|639
1341|CAMII|639
1342|PHKD|642
1343|PHKD3|642
1344|RO|644
1345|SSA|644
1346|cC1qR|644
1347|FLJ26680|644
1348|CaMK-GR|646
1349|CaMKIV|646
1350|CAMKA|647
1351|KIAA0968|647
1352|CaMKIIα|647
1353|CAMKB|648
1354|CAM2|648
1355|CAMK2|648
1356|CaMKIIβ|648
1357|CAMKD|649
1358|CAMKG|650
1359|CAML|651
1360|GET2|651
1361|CAP18|652
1362|FALL39|652
1363|FALL-39|652
1364|LL37|652
1365|CNX|653
1366|IP90|653
1367|P90|653
1368|AFCP|654
1369|muCANP|655
1370|muCL|655
1371|CANPL1|655
1372|mCANP|656
1373|CANPml|656
1374|CANPL2|656
1375|LGMD2|657
1376|LGMD2A|657
1377|CANP3|657
1378|p94|657
1379|nCL-1|657
1380|CAPN4|658
1381|CANP|658
1382|CANPS|658
1383|30K|658
1384|CDPS|658
1385|CAPNX|659
1386|CalpM|659
1387|CANPX|659
1388|CAPS1|660
1389|MGC126562|660
1390|CAPZ|662
1391|CAPPA2|662
1392|CARS|665
1393|IL1BC|666
1394|ICE|666
1395|NEDD2|667
1396|ICH1|667
1397|PPP1R57|667
1398|MGC2181|667
1399|CPP32|668
1400|CPP32B|668
1401|Yama|668
1402|apopain|668
1403|ICE(rel)II|669
1404|ICH-2|669
1405|TX|669
1406|ICE(rel)III|670
1407|MCH2|671
1408|caspase-6|671
1409|CSP-6|671
1410|MCH3|672
1411|CMH-1|672
1412|ICE-LAP3|672
1413|MCH5|673
1414|MACH|673
1415|FLICE|673
